;Gene;Pearson Correlation;p_value;Spearman Correlation;Spearman p_value;n;min_score;max_score;p_value_FDR;Spearman p_value_FDR
856;MYC;0.6594351654109767;0.0004563023812594379;0.6643478260869564;0.00039924328712659537;24;-2.7309685007121645;-0.6801883901335983;0.16479611279133627;0.10568540157794017
346;DMAP1;0.6509207386363863;0.0005720059096200348;0.6008695652173912;0.0019025985739905015;24;-1.6970524543391474;-0.5195204243289839;0.16479611279133627;0.14102060630417595
919;NOB1;0.608019770731116;0.001621971731233853;0.6147826086956522;0.0013898820033517749;24;-1.6179889730915689;-0.5745760064096536;0.24367981814360462;0.1355500711689915
320;DDX49;0.6072788661976568;0.0016493017864625094;0.6217391304347826;0.001181409133127283;24;-2.3857878964091483;-0.7225776865779265;0.24367981814360462;0.1355500711689915
514;GGPS1;0.599651750368025;0.0019542976859890857;0.6165217391304347;0.0013350175981865396;24;-2.032220848015895;0.0496151984984136;0.24367981814360462;0.1355500711689915
305;DDX10;0.5831735112567868;0.002780557365423025;0.5182608695652173;0.009476192167472693;24;-2.4734664028841395;-0.4645984988252102;0.24367981814360462;0.30274800148839487
1383;SAP18;0.5795456875675715;0.0029976478504898925;0.62;0.0012308328706616477;24;-1.369135875449804;-0.4099486855868227;0.24367981814360462;0.1355500711689915
928;NOL9;0.5769508156528455;0.0031615880219214056;0.6026086956521738;0.0018307926730697914;24;-1.519737491340157;-0.4100792798828787;0.24367981814360462;0.14102060630417595
1250;RIOK1;0.5744488352736917;0.003326782548342763;0.6269565217391303;0.00104321480961748;24;-1.530443368411447;-0.503013174446264;0.24367981814360462;0.1355500711689915
1777;WDR18;0.5734881156852464;0.0033921251083555673;0.5304347826086956;0.007665625679948597;24;-2.070237501069999;-0.1152510514102669;0.24367981814360462;0.263044525647125
1510;SRFBP1;0.5730954178463102;0.0034191447769744846;0.6234782608695651;0.0011336973606633706;24;-1.2952184280776105;-0.1042720808525983;0.24367981814360462;0.1355500711689915
1723;URB2;0.5481035933009026;0.005556710944290651;0.5226086956521738;0.008792755659654788;24;-1.3157119627327567;-0.2156268808895168;0.34321951265901923;0.2858416883743916
1598;THG1L;0.5421194964830846;0.006208318226957598;0.64;0.0007568767697969987;24;-1.2225604035675708;-0.0007230151709606;0.3595004273297634;0.1355500711689915
1842;ZNF574;0.5334070350258375;0.007270362202459687;0.5547826086956522;0.004898108173454637;24;-1.1931997257159588;-0.0369450299394104;0.37392289940823753;0.2327229344977293
632;IMP3;0.5327944026590475;0.007350411580595144;0.528695652173913;0.007905085955029822;24;-2.0422960825834844;-0.7127223933715388;0.37392289940823753;0.266329532266732
1660;TSR2;0.5327241561269117;0.007359637066043154;0.5434782608695652;0.006055021007749123;24;-2.437778259753437;-0.968560184922449;0.37392289940823753;0.24391204189911142
937;NOP9;0.5305304808820709;0.007652626296948852;0.5321739130434783;0.007432234862799776;24;-1.5119557879875043;-0.2883156352233251;0.37392289940823753;0.263044525647125
1745;UTP4;0.5292052913412533;0.00783427810356259;0.551304347826087;0.005232389972592129;24;-2.098034584885418;-0.4012391975233076;0.37392289940823753;0.23466422167994305
799;MLST8;0.5288958221100001;0.007877211676089908;0.46956521739130425;0.020609713704158827;24;-1.5072204132090536;-0.1209869700462035;0.37392289940823753;0.39370927313202375
370;DYNLL1;0.5240632221021392;0.008573461783010324;0.5504347826086956;0.005318886837861634;24;-1.4411317351546065;0.0780513108756976;0.37594293012917473;0.23466422167994305
464;FARSA;0.5200599398236514;0.00918824443861435;0.6026086956521738;0.0018307926730697914;24;-1.7600913083081189;-0.4531843107178742;0.37594293012917473;0.14102060630417595
1784;WDR46;0.5192236654440899;0.009321177518619004;0.5678260869565217;0.0037996733225035564;24;-1.7518737995291256;-0.3883076788712183;0.37594293012917473;0.21089430655742056
1089;POP1;0.519152043565344;0.009332636149995703;0.48521739130434777;0.01624446218040303;24;-1.4435787061205114;-0.7700941078503196;0.37594293012917473;0.3762623552535852
1095;PPAN;0.5162302777909356;0.009810135940233975;0.5356521739130434;0.006983184749703951;24;-1.602578370543169;-0.6747061129251611;0.3822697048590742;0.2587968268240284
8;ABT1;0.5146433117756558;0.010077852362052116;0.5782608695652174;0.0030778970421024353;24;-1.7789979238643805;-0.4053564529006184;0.3822697048590742;0.18143392994870916
34;ALG1;0.5140985534455378;0.010171133105433505;0.47130434782608693;0.020082231188607965;24;-1.463942025433782;-0.032740140805251;0.3822697048590742;0.39370927313202375
105;BAP1;0.5099769274961187;0.010900288547413943;0.4860869565217391;0.016026057350818954;24;-1.022042037126811;0.0047072619391329;0.38695515506645267;0.3759023325451585
