Gene,column,Pearson Correlation,p_value,n,min_score,max_score,minus_log10_p,selected_candidate
AAMP,AAMP (14),0.47067549906206774,0.02027168411881771,24,-1.4979732058264583,-0.0576420927249674,1.6931101697516382,True
AARS1,AARS1 (16),0.11021037915337717,0.6081878823235668,24,-2.657474412729962,-1.5627923379795663,0.21596223708967538,False
AARS2,AARS2 (57505),-0.028583957565422816,0.8945228226052829,24,-1.2693441906010563,0.2321703615402487,0.048408574487224874,False
AATF,AATF (26574),0.23890167684288774,0.2608979590247287,24,-1.2129892767407524,-0.3316368623144267,0.5835293183231792,False
ABCB7,ABCB7 (22),-0.009083971898451282,0.966397292856169,24,-2.5794844743454446,-0.1957658804141926,0.01484429529917914,False
ABCE1,ABCE1 (6059),0.07217975595949278,0.7374984647315969,24,-2.918218704281889,-1.2321660743119254,0.13223887943019225,False
ABCF1,ABCF1 (23),0.021486776732158427,0.9206181583918546,24,-1.4768963018409758,-0.4315227569382341,0.03592046327692503,False
ABHD11,ABHD11 (83451),-0.2079555395793767,0.32951068492150587,24,-1.0072933574714638,0.1080133813447254,0.482130498134577,False
ABT1,ABT1 (29777),0.5146433117756558,0.010077852362052116,24,-1.7789979238643805,-0.4053564529006184,1.9966320082362277,True
ACIN1,ACIN1 (22985),0.03490147078627115,0.8713823758666744,24,-1.16342075108955,-0.2253967097403478,0.059791228129040065,False
ACLY,ACLY (47),0.1272628276927293,0.5534533748169156,24,-1.202110158059662,-0.0518293826132248,0.25691895999327874,False
ACO2,ACO2 (50),-0.1494817059830026,0.4857108030736944,24,-1.7735657708414392,-0.1311247870328622,0.31362223693644165,False
ACSL3,ACSL3 (2181),0.21250664801318306,0.31879506795363494,24,-1.2962909207564433,0.0645534246555105,0.49648840615010903,False
ACTB,ACTB (60),-0.1808262251057018,0.3977892061542241,24,-1.6792030753357434,-0.0952027996231162,0.4003470054530561,False
ACTG1,ACTG1 (71),0.042395175659077855,0.8440672732236205,24,-1.477871152981021,-0.3795672460603499,0.07362293817828358,False
ACTL6A,ACTL6A (86),0.33237354838827926,0.11254350581656321,24,-1.876344909117601,-0.6936901318662018,0.9486795603649538,False
ACTR10,ACTR10 (55860),0.09533534662914672,0.6576753450089621,24,-2.016325699530512,-1.1199704861000157,0.18198843870522452,False
ACTR1A,ACTR1A (10121),0.2776735213408463,0.1889438730397272,24,-2.3019866619595426,-0.1583211906913857,0.7236671865634788,False
ACTR2,ACTR2 (10097),-0.02116965061276207,0.9217862418839281,24,-2.0002023967936564,-0.4291054792004629,0.03536977822330324,False
ACTR3,ACTR3 (10096),0.11458275338538051,0.5939411259449066,24,-1.132941032667918,-0.110823468140512,0.22625660206333897,False
ACTR6,ACTR6 (64431),0.2689889016162073,0.20372682026825867,24,-1.0598796646764168,-0.1259726121576302,0.6909517931512247,False
ACTR8,ACTR8 (93973),0.059047474994816385,0.7840316647134319,24,-1.04753036440877,-0.083996038466062,0.10566639709539145,False
ADAR,ADAR (103),-0.4166223110075236,0.04284548842225091,24,-1.3823629892638545,-0.1371622273426914,1.3680949020132742,False
ADSL,ADSL (158),-0.1255349270956435,0.5588957670004803,24,-1.8687116283255176,-0.2116305328791141,0.25266917965819596,False
ADSS2,ADSS2 (159),-0.12953711177345464,0.5463270708993464,24,-1.227874787349395,0.1702375620188404,0.2625472793482695,False
AFG3L2,AFG3L2 (10939),0.0807908163457972,0.7074536447623454,24,-1.7753551031673285,-0.3480990109602714,0.1503020116106909,False
AGAP6,AGAP6 (414189),-0.08009843620229634,0.7098545022846469,24,-1.1298520791668696,-0.2080201302101955,0.148830658788422,False
AHCTF1,AHCTF1 (25909),-0.4063831308571518,0.04877292356392331,24,-1.7666536719699149,-0.536361373380618,1.3118212109939456,False
AHCY,AHCY (191),-0.24721189494128767,0.24417255963388143,24,-1.379800259656869,0.0710906787585137,0.6123031441142947,False
AHCYL1,AHCYL1 (10768),0.38720051251443555,0.06158112580022045,24,-1.2292407856677023,0.131437441018022,1.2105523757713357,False
AK6,AK6 (102157402),0.2346091374709301,0.26981885030908176,24,-1.556672399716374,-0.4065954002003544,0.5689277125616657,False
AKIRIN2,AKIRIN2 (55122),-0.3406421953778217,0.103344062007948,24,-2.359688296800819,-0.7015510103358,0.9857144722178093,False
ALDH18A1,ALDH18A1 (5832),-0.11427949072798177,0.5949246672799584,24,-1.0337430398915557,0.1339077444704502,0.22553802360911887,False
ALDOA,ALDOA (226),0.24594743075415057,0.24667116881527656,24,-2.1872829180269435,-0.5362366917675382,0.6078816083381948,False
ALG1,ALG1 (56052),0.5140985534455377,0.010171133105433541,24,-1.463942025433782,-0.032740140805251,1.99263066221736,True
ALG11,ALG11 (440138),-0.15308673199709796,0.4751287035063808,24,-3.043825140211797,-0.9893686671809108,0.32318873216154953,False
ALG13,ALG13 (79868),0.183534773571254,0.39063821854247455,24,-1.4197410150305911,-0.132643679274626,0.40822526926595926,False
ALG14,ALG14 (199857),0.3315430529941133,0.11349959303724891,24,-1.1892895531891703,-0.3328455067934894,0.9450056956690435,False
ALG2,ALG2 (85365),0.3350946139931753,0.10945229084513843,24,-2.259771584562706,-0.3633831898317443,0.9607751441829315,False
ALG8,ALG8 (79053),0.10864713618371995,0.6133156055889168,24,-1.1002976478209263,0.0505794317969595,0.2123159847093304,False
